"country","year","current_account_balance_pct_gdp","govt_gross_debt_pct_gdp","population_millions","unemployment_rate_pct","gdp_per_capita_ppp","gdp_growth_pct","inflation_avg_cpi_pct","inflation_change_pct","region","ihs_inflation","ihs_unemployment","ihs_debt","ihs_gdp_growth"
"Saudi Arabia",1989,-10.004,468.08,13.066,16.8,44923.85,-0.503,1.212,1.562,"MENA & Central Asia",1.02363273638628,3.51541066337007,6.84178754307526,-0.483893495381474
"Sudan",1989,-12.135,41.321,24.2,17.225,2828.65,1.423,65.338,2.474,"MENA & Central Asia",4.87277953297942,3.54035053466665,4.41466441303847,1.15127820285279
"Syrian Arab Republic",1989,12.408,20.612,12.298,35.3,9776.88,-6.067,15.385,-14.615,"MENA & Central Asia",3.4275947171113,4.25723071171199,3.71960852900367,-2.50273517204234
"Tunisia",1989,-2.694,68.246,7.986,5.5,5492.47,2.579,7.722,0.566000000000001,"MENA & Central Asia",2.74138702579172,2.40605912529802,4.91631967720255,1.67617794665096
"United Arab Emirates",1989,10.003,185.31,1.86,4.9,84650.97,15.733,2.792,-2.203,"MENA & Central Asia",1.75053479551337,2.29263575204241,5.91518455903937,3.44991606077481
"Algeria",1990,2.01,31.8,25.022,19.757,10083.8,0.8,9.272,0.0999999999999996,"MENA & Central Asia",2.92304167502481,3.6772948939103,4.15286059995224,0.732668256045411
"Bahrain",1990,1.407,7.545,0.488,6.489,43198.22,3.503,1.299,0.099,"MENA & Central Asia",1.07784120083274,2.5691406649836,2.71839521012807,1.96654430864343
"Egypt, Arab Rep.",1990,-2.699,55.307,51.36,8.044,7004.77,2.35,21.219,1.09,"MENA & Central Asia",3.7485989774603,2.78191508446055,4.70612838301929,1.59003459120083
"Iran, Islamic Rep.",1990,-0.465,84.401,54.496,14.2,9667.08,13.595,9,-8.401,"MENA & Central Asia",2.89344398588587,3.34762667908564,5.12876152355141,3.30419916042283
"Jordan",1990,-5.425,227.521,3.481,16.8,8455.74,-1.604,16.192,-9.476,"MENA & Central Asia",3.47861665291414,3.51541066337007,6.12039455179105,-1.25110141988726
"Kuwait",1990,20.336,13.623,2.023,0.723,65329.11,-26.229,5.3,1.083,"MENA & Central Asia",2.36963744780851,0.671407098167905,3.30625109094695,-3.96037604449251
"Lebanon",1990,-39.204,259.288,2.803,17.63,9462.7,-13.421,68.9,-3.3,"MENA & Central Asia",4.92585601693128,3.56355254034367,6.25109031213423,-3.29135288290109
"Libya",1990,6.789,75.76,4.26,10.308,35012.3,3.72,0.721,-3.743,"MENA & Central Asia",0.669785568689894,3.02841204622851,5.02076118380449,2.02446573589956
"Morocco",1990,-2.185,70.476,24.167,9.85,4304.07,4.035,6.026,2.888,"MENA & Central Asia",2.49604524037255,2.983185455039,4.94846973663309,2.10316652531144
"Oman",1990,8.206,17.782,1.843,2.588,29040.09,8.378,10.011,8.447,"MENA & Central Asia",2.99931689560033,1.67942671358851,3.57212359426186,2.82229923964678
"Pakistan",1990,-2.112,18.344,105.999,3.13,3216.39,4.589,9.051,1.169,"MENA & Central Asia",2.89906028917964,1.85877362052559,3.60319183643996,2.22847478110906
