"country","year","current_account_balance_pct_gdp","govt_gross_debt_pct_gdp","population_millions","unemployment_rate_pct","gdp_per_capita_ppp","gdp_growth_pct","inflation_avg_cpi_pct","inflation_change_pct","region","ihs_inflation","ihs_unemployment","ihs_debt","ihs_gdp_growth"
"St. Kitts and Nevis",1985,-5.459,70.539,0.042,10.291,9174.58,6.437,2.666,-0.0609999999999999,"Latin America & Caribbean",1.7071773280924,3.0267692055637,4.9493631688039,2.56118943980414
"St. Lucia",1985,-1.525,96.551,0.133,16.049,7435.2,12.59,0.503,-1.546,"Latin America & Caribbean",0.483893495381474,3.46976292123832,5.26324536363421,3.22762351673457
"St. Vincent and the Grenadines",1985,1.226,144.499,0.102,8.656,5585.36,4.271,2.079,-0.623,"Latin America & Caribbean",1.47841725468004,2.85471993646433,5.66643174066067,2.15842677080588
"Suriname",1985,-2.29,85.316,0.121,3.138,2892.22,-0.9,10.852,7.164,"Latin America & Caribbean",3.07961270282089,1.86120547335849,5.13954353519649,-0.808866935652782
"Trinidad and Tobago",1985,-0.638,40.887,1.17,4.4,12498.26,-4.119,7.623,-5.712,"Latin America & Caribbean",2.72859184891384,2.18742176068697,4.40410885531954,-2.12317738840712
"Uruguay",1985,-5.206,76.331,3.035,13.1,10162.71,0.298,72.222,16.917,"Latin America & Caribbean",4.97293981502917,3.26721302923313,5.02826923251537,0.293756868631831
"Venezuela, RB",1985,6.209,36.257,17.241,8.713,16970.14,0.867,11.382,-0.868,"Latin America & Caribbean",3.12710453660863,2.86124029252817,4.28396976868751,0.784136166333921
"Antigua and Barbuda",1986,-10.279,40.615,0.063,7.9,12635.41,11.493,0.5,-0.496,"Latin America & Caribbean",0.481211825059603,2.76399185110002,4.39743615651349,3.13677264675487
"Argentina",1986,-2.411,11.939,30.74,6.3,16019.23,7.146,1.3,-22.6,"Latin America & Caribbean",1.0784510589549,2.53993693665066,3.17470683366945,2.66456006549511
"Bahamas, The",1986,-0.764,35.74,0.238,12.2,36136.39,2.6,5.414,0.79,"Latin America & Caribbean",2.39055738215083,3.19625857216558,4.26961335092239,1.68374314399774
"Barbados",1986,-1.028,9.154,0.257,17.735,13556.04,5.1,0.199,-4.659,"Latin America & Caribbean",0.197709435526023,3.56948115898101,2.91030830527167,2.33186371852127
"Belize",1986,4.054,148.258,0.171,15.5,3936.47,7.275,0.794,-3.359,"Latin America & Caribbean",0.727976183892831,3.43502616673848,5.69211255343978,2.6822814816866
"Chile",1986,-6.384,463.616,12.317,12.299,7884.93,5.596,19.477,-11.226,"Latin America & Caribbean",3.66303982818788,3.20431378083067,6.83220496705515,2.42308863755402
